INDMANTMANUAL[Descricao],INDMANTMANUAL[Simbolo],INDMANTMANUAL[Valor],INDMANTMANUAL[DtMovimento],INDMANTMANUAL[nomeEmpresa],INDMANTMANUAL[cod_empresa],Unnamed: 6
CAIEMF Nobel - Carros Aprovados MANT,CAIENN,14.0,2025-04-01,Nobel,2.0,
TOPP ESB - Total OE Prev. Parada MANT,TOPPE,5.0,2025-07-01,Expresso São Bento,13.0,
TOPP Nobel - Total OE Prev. Parada MANT,TOPPN,42.0,2025-02-01,Nobel,2.0,
OEMPP Nobel - OE Prev. Pendt MANT,OEMPPN,11.0,2025-04-01,Nobel,2.0,
CDTDM Leblon - Cst de Teste Mant - MANT,CDTDML,3567.7,2025-07-01,Leblon,1.0,
OEMCP Nobel - OE de Manutenção MANT,OEMCPN,14.0,2025-03-01,Nobel,2.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,8.0,2025-05-01,Leblon,1.0,
TOPP ESB - Total OE Prev. Parada MANT,TOPPE,6.0,2025-05-01,Expresso São Bento,13.0,
OEMCP Nobel - OE de Manutenção MANT,OEMCPN,6.0,2025-05-01,Nobel,2.0,
CAIEFO Nobel - Carros Analisados MANT,CAIEFN,20.0,2025-01-01,Nobel,2.0,
TOPP ESB - Total OE Prev. Parada MANT,TOPPE,1.0,2025-01-01,Expresso São Bento,13.0,
OEMPP Nobel - OE Prev. Pendt MANT,OEMPPN,24.0,2025-02-01,Nobel,2.0,
TOPP Leblon - Total OE Prev. Parada MANT,TOPPL,116.0,2025-06-01,Leblon,1.0,
QVV Nobel - Qtd de Veículos Visto MANT,QVVN,6.0,2025-01-01,Nobel,2.0,
TOPP Leblon - Total OE Prev. Parada MANT,TOPPL,27.0,2025-03-01,Leblon,1.0,
CAIEFO Nobel - Carros Analisados MANT,CAIEFN,6.0,2025-05-01,Nobel,2.0,
TOPP Leblon - Total OE Prev. Parada MANT,TOPPL,22.0,2025-02-01,Leblon,1.0,
CDTDM Nobel - Cst de Teste Mant - MANT,CDTDMN,3519.04,2025-02-01,Nobel,2.0,
OEMCP Nobel - OE de Manutenção MANT,OEMCPN,1.0,2025-08-01,Nobel,2.0,
TOPP ESB - Total OE Prev. Parada MANT,TOPPE,13.0,2025-06-01,Expresso São Bento,13.0,
OEMCP Leblon - OE de Manutenção MANT,OEMCPL,12.0,2025-03-01,Leblon,1.0,
OEMCP Leblon - OE de Manutenção MANT,OEMCPL,55.0,2025-06-01,Leblon,1.0,
OEMCP Nobel - OE de Manutenção MANT,OEMCPN,14.0,2025-04-01,Nobel,2.0,
TIA Nobel Total de Vist. Realizada MANT,TIAN,1.0,2025-12-01,Nobel,2.0,
TIC Nobel Total de Itens conformes MANT,TICN,272.0,2025-06-01,Nobel,2.0,
CAIEMF Nobel - Carros Aprovados MANT,CAIENN,6.0,2025-05-01,Nobel,2.0,
CDTDM Leblon - Cst de Teste Mant - MANT,CDTDML,6669.94,2025-05-01,Leblon,1.0,
QVA Leblon - Qtd de Veículos Aprvd MANT,QVAL,8.0,2025-08-01,Leblon,1.0,
CDTDM Nobel - Cst de Teste Mant - MANT,CDTDMN,4234.35,2025-05-01,Nobel,2.0,
CAIEMF Leblon - Carros Aprovados MANT,CAIEML,11.0,2025-07-01,Leblon,1.0,
CAIEMF Nobel - Carros Aprovados MANT,CAIENN,14.0,2025-03-01,Nobel,2.0,
TIC Leblon Total de Itens conformes MANT,TICL,227.0,2025-02-01,Leblon,1.0,
QVA Leblon - Qtd de Veículos Aprvd MANT,QVAL,13.0,2025-05-01,Leblon,1.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,20.0,2025-04-01,Leblon,1.0,
TOPP Leblon - Total OE Prev. Parada MANT,TOPPL,80.0,2025-07-01,Leblon,1.0,
QVA Nobel - Qtd de Veículos Aprvd MANT,QVAN,17.0,2025-05-01,Nobel,2.0,
